id_venta,producto,precio,cantidad,fecha_venta,categoria
669,Lámpara de mesa,$96.79,5,13/01/2024,Decoración
987,Elementos de cerámica,$102.62,3,13/01/2024,Decoración
1548,Cafetera,$35.73,12,13/01/2024,Electrodomésticos
2822,Televisor,$57.34,1,13/01/2024,Electrónica
2924,Tablet,$32.30,1,13/01/2024,Electrónica
20,Adorno de pared,$90.21,2,14/01/2024,Decoración
53,Espejo decorativo,$115.45,7,14/01/2024,Decoración
608,Rincón de plantas,$64.67,10,14/01/2024,Decoración
993,Espejo decorativo,$98.26,1,14/01/2024,Decoración
1065,Lavadora,$43.98,6,14/01/2024,Electrodomésticos
1599,Batidora,$96.78,12,14/01/2024,Electrodomésticos
1638,Cafetera,$123.96,9,14/01/2024,Electrodomésticos
1685,Lavadora,$84.80,3,14/01/2024,Electrodomésticos
2685,Auriculares,$27.36,10,14/01/2024,Electrónica
169,Lámpara de mesa,$76.32,9,15/01/2024,Decoración
236,Cortinas,$118.69,9,15/01/2024,Decoración
260,Adorno de pared,$101.48,9,15/01/2024,Decoración
977,Elementos de cerámica,$74.35,5,15/01/2024,Decoración
1271,Freidora eléctrica,$119.46,2,15/01/2024,Electrodomésticos
2098,SmartWatch,$75.65,5,15/01/2024,Electrónica
2196,Laptop,$31.69,1,15/01/2024,Electrónica
2590,Consola de videojuegos,$99.14,6,15/01/2024,Electrónica
2788,SmartWatch,$30.38,8,15/01/2024,Electrónica
2803,Smartphone,$95.73,5,15/01/2024,Electrónica
2874,Tablet,$117.47,2,15/01/2024,Electrónica
113,Espejo decorativo,$75.93,10,16/01/2024,Decoración
503,Espejo decorativo,$101.91,3,16/01/2024,Decoración
832,Cuadro decorativo,$30.59,1,16/01/2024,Decoración
962,Cuadro decorativo,$40.97,11,16/01/2024,Decoración
1250,Plancha de vapor,$98.55,6,16/01/2024,Electrodomésticos
1431,Freidora eléctrica,$83.95,8,16/01/2024,Electrodomésticos
1920,Plancha de vapor,$86.65,6,16/01/2024,Electrodomésticos
2129,Proyector,$107.98,6,16/01/2024,Electrónica
2220,Consola de videojuegos,$31.57,1,16/01/2024,Electrónica
2477,Cámara digital,$38.37,9,16/01/2024,Electrónica
2789,Proyector,$115.19,11,16/01/2024,Electrónica
2935,Auriculares,$80.29,2,16/01/2024,Electrónica
131,Lámpara de mesa,$58.32,10,17/01/2024,Decoración
178,Rincón de plantas,$81.50,1,17/01/2024,Decoración
368,Rincón de plantas,$87.40,9,17/01/2024,Decoración
627,Elementos de cerámica,,,17/01/2024,Decoración
684,Jarrón decorativo,$106.89,6,17/01/2024,Decoración
1750,Plancha de vapor,$94.53,2,17/01/2024,Electrodomésticos
2171,Parlantes Bluetooth,,,17/01/2024,Electrónica
2284,Tablet,$69.35,4,17/01/2024,Electrónica
2402,Televisor,$117.53,9,17/01/2024,Electrónica
2698,SmartWatch,$76.47,7,17/01/2024,Electrónica
430,Adorno de pared,$81.76,5,18/01/2024,Decoración
588,Rincón de plantas,$80.17,3,18/01/2024,Decoración
1626,Secadora,$102.73,6,18/01/2024,Electrodomésticos
1900,Plancha de vapor,$45.14,1,18/01/2024,Electrodomésticos
2119,Proyector,$84.10,11,18/01/2024,Electrónica
2244,Auriculares,$63.67,5,18/01/2024,Electrónica
2297,Cámara digital,$119.43,5,18/01/2024,Electrónica
2416,Laptop,$81.74,10,18/01/2024,Electrónica
2431,Parlantes Bluetooth,$69.40,1,18/01/2024,Electrónica
2792,Televisor,$84.96,5,18/01/2024,Electrónica
30,Adorno de pared,$76.92,6,19/01/2024,Decoración
49,Lámpara de mesa,$52.95,6,19/01/2024,Decoración
104,Jarrón decorativo,$103.13,8,19/01/2024,Decoración
323,Espejo decorativo,$123.21,7,19/01/2024,Decoración
395,Alfombra,$33.48,12,19/01/2024,Decoración
851,Lámpara de mesa,$85.23,6,19/01/2024,Decoración
1125,Lavadora,$97.73,12,19/01/2024,Electrodomésticos
1332,Cafetera,$98.21,11,19/01/2024,Electrodomésticos
1806,Secadora,$27.45,10,19/01/2024,Electrodomésticos
2231,Parlantes Bluetooth,$42.98,7,19/01/2024,Electrónica
401,Lámpara de mesa,$69.47,8,20/01/2024,Decoración
788,Rincón de plantas,$85.75,3,20/01/2024,Decoración
1007,Horno eléctrico,$98.42,8,20/01/2024,Electrodomésticos
1489,Batidora,$95.59,3,20/01/2024,Electrodomésticos
2187,Cámara digital,$108.61,2,20/01/2024,Electrónica
2588,SmartWatch,$83.01,11,20/01/2024,Electrónica
2721,Parlantes Bluetooth,$40.74,6,20/01/2024,Electrónica
2897,Cámara digital,$71.45,5,20/01/2024,Electrónica
2987,Cámara digital,$91.13,8,20/01/2024,Electrónica
59,Lámpara de mesa,$121.72,8,21/01/2024,Decoración
754,Jarrón decorativo,$91.53,12,21/01/2024,Decoración
1117,Horno eléctrico,$103.57,1,21/01/2024,Electrodomésticos
1140,Plancha de vapor,$27.61,7,21/01/2024,Electrodomésticos
1145,Lavadora,$67.20,11,21/01/2024,Electrodomésticos
1286,Secadora,$84.50,11,21/01/2024,Electrodomésticos
1754,Aspiradora,$104.86,8,21/01/2024,Electrodomésticos
1882,Cafetera,$51.16,12,21/01/2024,Electrodomésticos
2560,Consola de videojuegos,$87.23,5,21/01/2024,Electrónica
442,Cuadro decorativo,$29.17,1,22/01/2024,Decoración
547,Elementos de cerámica,$83.81,6,22/01/2024,Decoración
984,Jarrón decorativo,$26.97,5,22/01/2024,Decoración
1106,Secadora,$91.54,2,22/01/2024,Electrodomésticos
1808,Cafetera,$45.98,3,22/01/2024,Electrodomésticos
1981,Freidora eléctrica,$48.68,8,22/01/2024,Electrodomésticos
80,Adorno de pared,$51.56,5,23/01/2024,Decoración
189,Lámpara de mesa,$26.42,2,23/01/2024,Decoración
839,Lámpara de mesa,$96.37,5,23/01/2024,Decoración
947,Elementos de cerámica,$117.34,1,23/01/2024,Decoración
1592,Cafetera,$86.79,3,23/01/2024,Electrodomésticos
2690,Consola de videojuegos,$102.40,2,23/01/2024,Electrónica
39,Lámpara de mesa,$57.35,12,24/01/2024,Decoración
164,Jarrón decorativo,$66.27,1,24/01/2024,Decoración
196,Cortinas,$90.87,4,24/01/2024,Decoración
768,Rincón de plantas,$89.47,2,24/01/2024,Decoración
1515,Lavadora,$108.37,1,24/01/2024,Electrodomésticos
1786,Secadora,$40.63,3,24/01/2024,Electrodomésticos
1977,Horno eléctrico,$45.79,7,24/01/2024,Electrodomésticos
2354,Tablet,$27.98,8,24/01/2024,Electrónica
2543,Smartphone,$91.39,7,24/01/2024,Electrónica
2623,Smartphone,$27.32,7,24/01/2024,Electrónica
2982,Televisor,$26.70,9,24/01/2024,Electrónica
85,Alfombra,$71.14,2,25/01/2024,Decoración
983,Espejo decorativo,$123.22,10,25/01/2024,Decoración
1378,Cafetera,$96.94,4,25/01/2024,Electrodomésticos
1485,Lavadora,$66.16,4,25/01/2024,Electrodomésticos
1503,Microondas,$39.45,9,25/01/2024,Electrodomésticos
2121,Parlantes Bluetooth,$100.60,6,25/01/2024,Electrónica
2340,Consola de videojuegos,$109.68,5,25/01/2024,Electrónica
2502,Televisor,$77.83,8,25/01/2024,Electrónica
2619,Proyector,$70.10,10,25/01/2024,Electrónica
2735,Auriculares,$93.37,10,25/01/2024,Electrónica
2948,SmartWatch,$29.15,2,25/01/2024,Electrónica
73,Espejo decorativo,$52.58,9,26/01/2024,Decoración
621,Lámpara de mesa,$70.60,6,26/01/2024,Decoración
787,Elementos de cerámica,$106.39,6,26/01/2024,Decoración
933,Espejo decorativo,$110.02,1,26/01/2024,Decoración
1768,Cafetera,$120.32,9,26/01/2024,Electrodomésticos
2252,Televisor,$89.27,8,26/01/2024,Electrónica
2305,Auriculares,$31.03,9,26/01/2024,Electrónica
218,Rincón de plantas,$120.32,1,27/01/2024,Decoración
310,Adorno de pared,$103.79,2,27/01/2024,Decoración
496,Cortinas,$37.02,5,27/01/2024,Decoración
1360,Plancha de vapor,$95.10,2,27/01/2024,Electrodomésticos
1744,Aspiradora,$28.79,12,27/01/2024,Electrodomésticos
1877,Horno eléctrico,$53.46,4,27/01/2024,Electrodomésticos
2165,Auriculares,$47.24,9,27/01/2024,Electrónica
2218,SmartWatch,$54.84,1,27/01/2024,Electrónica
2222,Televisor,$33.19,9,27/01/2024,Electrónica
2546,Laptop,$30.31,2,27/01/2024,Electrónica
617,Elementos de cerámica,$28.22,4,28/01/2024,Decoración
641,Lámpara de mesa,$95.46,10,28/01/2024,Decoración
912,Cuadro decorativo,$111.56,9,28/01/2024,Decoración
1999,Batidora,$103.27,3,28/01/2024,Electrodomésticos
2323,Smartphone,$34.50,1,28/01/2024,Electrónica
2636,Laptop,$33.07,10,28/01/2024,Electrónica
2693,Smartphone,$115.81,1,28/01/2024,Electrónica
373,Espejo decorativo,$29.77,11,29/01/2024,Decoración
1452,Cafetera,$88.56,8,29/01/2024,Electrodomésticos
1645,Lavadora,$76.50,3,29/01/2024,Electrodomésticos
2228,SmartWatch,$100.06,7,29/01/2024,Electrónica
2240,Consola de videojuegos,$43.35,8,29/01/2024,Electrónica
2245,Auriculares,$53.45,8,29/01/2024,Electrónica
2653,Smartphone,$121.22,6,29/01/2024,Electrónica
2870,Consola de videojuegos,$72.39,1,29/01/2024,Electrónica
2938,SmartWatch,$122.68,1,29/01/2024,Electrónica
2953,Smartphone,$121.00,12,29/01/2024,Electrónica
1046,Secadora,$109.00,11,30/01/2024,Electrodomésticos
1886,Secadora,$47.91,1,30/01/2024,Electrodomésticos
1965,Lavadora,$43.52,7,30/01/2024,Electrodomésticos
2005,Auriculares,$56.56,4,30/01/2024,Electrónica
2273,Smartphone,$59.33,2,30/01/2024,Electrónica
2522,Televisor,$94.98,2,30/01/2024,Electrónica
2784,Tablet,$41.96,9,30/01/2024,Electrónica
2945,Auriculares,$115.20,1,30/01/2024,Electrónica
50,Adorno de pared,$83.10,5,31/01/2024,Decoración
162,Cuadro decorativo,$59.60,5,31/01/2024,Decoración
259,Lámpara de mesa,$78.89,11,31/01/2024,Decoración
277,Elementos de cerámica,$52.17,7,31/01/2024,Decoración
852,Cuadro decorativo,$78.93,4,31/01/2024,Decoración
1185,Lavadora,$92.36,1,31/01/2024,Electrodomésticos
1210,Plancha de vapor,$101.96,10,31/01/2024,Electrodomésticos
1254,Aspiradora,$74.11,11,31/01/2024,Electrodomésticos
1481,Freidora eléctrica,$121.77,12,31/01/2024,Electrodomésticos
1898,Cafetera,$63.54,9,31/01/2024,Electrodomésticos
2185,Auriculares,$35.74,11,31/01/2024,Electrónica
2752,Auriculares,$119.77,5,31/01/2024,Electrónica
2916,Laptop,$93.91,2,31/01/2024,Electrónica
733,Espejo decorativo,$44.37,2,01/02/2024,Decoración
848,Rincón de plantas,$81.92,10,01/02/2024,Decoración
1102,Cafetera,$108.33,2,01/02/2024,Electrodomésticos
1764,Aspiradora,$112.38,10,01/02/2024,Electrodomésticos
1813,Microondas,$89.16,5,01/02/2024,Electrodomésticos
2069,Proyector,$76.17,12,01/02/2024,Electrónica
2474,Auriculares,$123.41,8,01/02/2024,Electrónica
2680,Consola de videojuegos,$89.96,2,01/02/2024,Electrónica
380,Adorno de pared,$45.84,10,02/02/2024,Decoración
557,Elementos de cerámica,$108.86,6,02/02/2024,Decoración
828,Rincón de plantas,$27.95,7,02/02/2024,Decoración
829,Lámpara de mesa,$41.60,12,02/02/2024,Decoración
1600,Plancha de vapor,$47.60,10,02/02/2024,Electrodomésticos
2079,Proyector,$111.74,6,02/02/2024,Electrónica
2115,Auriculares,$26.00,9,02/02/2024,Electrónica
2133,Smartphone,$88.43,2,02/02/2024,Electrónica
2329,Proyector,$62.88,7,02/02/2024,Electrónica
2476,Laptop,$109.23,7,02/02/2024,Electrónica
2548,SmartWatch,$108.99,10,02/02/2024,Electrónica
211,Lámpara de mesa,$30.03,8,03/02/2024,Decoración
541,Lámpara de mesa,$76.33,10,03/02/2024,Decoración
695,Alfombra,$51.29,2,03/02/2024,Decoración
1336,Secadora,$42.81,7,03/02/2024,Electrodomésticos
1499,Batidora,$77.53,4,03/02/2024,Electrodomésticos
2007,Cámara digital,$117.11,9,03/02/2024,Electrónica
2068,SmartWatch,$49.23,4,03/02/2024,Electrónica
2758,SmartWatch,$81.32,6,03/02/2024,Electrónica
2851,Parlantes Bluetooth,$110.42,2,03/02/2024,Electrónica
64,Jarrón decorativo,$104.16,10,04/02/2024,Decoración
763,Espejo decorativo,$117.99,3,04/02/2024,Decoración
1424,Aspiradora,$69.31,10,04/02/2024,Electrodomésticos
1455,Lavadora,$38.61,10,04/02/2024,Electrodomésticos
1456,Secadora,$84.24,3,04/02/2024,Electrodomésticos
2315,Auriculares,$109.07,4,04/02/2024,Electrónica
2832,Televisor,$49.23,4,04/02/2024,Electrónica
24,Jarrón decorativo,$70.51,12,05/02/2024,Decoración
40,Adorno de pared,$100.32,10,05/02/2024,Decoración
347,Elementos de cerámica,$83.52,12,05/02/2024,Decoración
911,Lámpara de mesa,$33.90,4,05/02/2024,Decoración
1451,Freidora eléctrica,$48.52,4,05/02/2024,Electrodomésticos
1855,Lavadora,$123.28,8,05/02/2024,Electrodomésticos
1961,Freidora eléctrica,$81.99,1,05/02/2024,Electrodomésticos
2378,SmartWatch,$72.38,1,05/02/2024,Electrónica
2426,Laptop,$47.57,4,05/02/2024,Electrónica
1064,Aspiradora,$65.00,9,06/02/2024,Electrodomésticos
1313,Microondas,$82.58,9,06/02/2024,Electrodomésticos
1848,Cafetera,$123.27,4,06/02/2024,Electrodomésticos
2267,Cámara digital,$57.81,10,06/02/2024,Electrónica
2438,SmartWatch,$45.98,3,06/02/2024,Electrónica
2566,Laptop,$70.59,9,06/02/2024,Electrónica
2617,Cámara digital,$89.53,9,06/02/2024,Electrónica
2627,Cámara digital,$102.83,5,06/02/2024,Electrónica
381,Lámpara de mesa,$124.57,3,07/02/2024,Decoración
393,Espejo decorativo,$122.11,7,07/02/2024,Decoración
662,Cuadro decorativo,$42.09,12,07/02/2024,Decoración
770,Adorno de pared,$103.74,5,07/02/2024,Decoración
895,Alfombra,$102.72,2,07/02/2024,Decoración
1340,Plancha de vapor,$48.48,10,07/02/2024,Electrodomésticos
1422,Cafetera,$109.97,2,07/02/2024,Electrodomésticos
1554,Aspiradora,$124.82,3,07/02/2024,Electrodomésticos
2584,Auriculares,$42.67,6,07/02/2024,Electrónica
163,Espejo decorativo,$30.11,12,08/02/2024,Decoración
367,Elementos de cerámica,$47.00,2,08/02/2024,Decoración
745,Alfombra,$50.02,12,08/02/2024,Decoración
850,Adorno de pared,$112.03,9,08/02/2024,Decoración
971,Lámpara de mesa,$79.91,8,08/02/2024,Decoración
1501,Freidora eléctrica,$58.69,4,08/02/2024,Electrodomésticos
1529,Batidora,$79.14,10,08/02/2024,Electrodomésticos
2618,SmartWatch,$64.98,11,08/02/2024,Electrónica
809,Lámpara de mesa,$58.38,4,09/02/2024,Decoración
1371,Freidora eléctrica,$95.71,4,09/02/2024,Electrodomésticos
1791,Freidora eléctrica,$51.37,9,09/02/2024,Electrodomésticos
2294,Auriculares,$54.54,9,09/02/2024,Electrónica
2668,SmartWatch,$97.01,4,09/02/2024,Electrónica
2718,SmartWatch,$110.23,11,09/02/2024,Electrónica
135,Alfombra,$78.47,1,10/02/2024,Decoración
212,Cuadro decorativo,$52.83,12,10/02/2024,Decoración
229,Lámpara de mesa,$99.71,3,10/02/2024,Decoración
737,Elementos de cerámica,$116.82,3,10/02/2024,Decoración
840,Adorno de pared,$91.48,9,10/02/2024,Decoración
949,Lámpara de mesa,$87.04,1,10/02/2024,Decoración
1294,Aspiradora,$26.11,9,10/02/2024,Electrodomésticos
1436,Secadora,$45.43,11,10/02/2024,Electrodomésticos
1696,Secadora,$115.57,12,10/02/2024,Electrodomésticos
2013,Smartphone,$49.34,12,10/02/2024,Electrónica
2203,Smartphone,$59.33,5,10/02/2024,Electrónica
2873,Smartphone,$74.80,5,10/02/2024,Electrónica
2973,Smartphone,$97.62,1,10/02/2024,Electrónica
43,Espejo decorativo,$81.16,2,11/02/2024,Decoración
205,Alfombra,$108.67,4,11/02/2024,Decoración
417,Elementos de cerámica,$35.97,2,11/02/2024,Decoración
462,Cuadro decorativo,$109.69,8,11/02/2024,Decoración
1730,Plancha de vapor,$101.57,10,11/02/2024,Electrodomésticos
1901,Freidora eléctrica,$83.07,6,11/02/2024,Electrodomésticos
2440,Consola de videojuegos,$110.79,8,11/02/2024,Electrónica
2952,Televisor,$112.58,5,11/02/2024,Electrónica
362,Cuadro decorativo,$71.97,12,12/02/2024,Decoración
952,Cuadro decorativo,$72.08,11,12/02/2024,Decoración
970,Adorno de pared,$37.50,3,12/02/2024,Decoración
1963,Microondas,$96.35,3,12/02/2024,Electrodomésticos
2122,Televisor,$97.30,9,12/02/2024,Electrónica
2334,Auriculares,$57.41,4,12/02/2024,Electrónica
2714,Auriculares,$74.70,10,12/02/2024,Electrónica
116,Cortinas,$40.19,3,13/02/2024,Decoración
2379,Proyector,$108.52,12,13/02/2024,Electrónica
2669,Proyector,$26.52,3,13/02/2024,Electrónica
2739,Proyector,$63.33,10,13/02/2024,Electrónica
2766,Laptop,$31.94,11,13/02/2024,Electrónica
2829,Proyector,$33.84,5,13/02/2024,Electrónica
151,Lámpara de mesa,$113.01,7,14/02/2024,Decoración
366,Cortinas,$92.84,1,14/02/2024,Decoración
406,Cortinas,$64.96,1,14/02/2024,Decoración
884,Jarrón decorativo,$82.89,10,14/02/2024,Decoración
1488,Cafetera,$79.98,2,14/02/2024,Electrodomésticos
1946,Secadora,$69.17,6,14/02/2024,Electrodomésticos
2154,Auriculares,$45.97,12,14/02/2024,Electrónica
2571,Parlantes Bluetooth,$123.36,5,14/02/2024,Electrónica
2871,Parlantes Bluetooth,$101.08,7,14/02/2024,Electrónica
282,Cuadro decorativo,$87.42,7,15/02/2024,Decoración
457,Elementos de cerámica,$38.25,1,15/02/2024,Decoración
946,Cortinas,$109.32,7,15/02/2024,Decoración
1353,Microondas,$98.65,2,15/02/2024,Electrodomésticos
2782,Televisor,$62.80,8,15/02/2024,Electrónica
2979,Proyector,$65.41,7,15/02/2024,Electrónica
1070,Plancha de vapor,$48.23,5,16/02/2024,Electrodomésticos
1265,Lavadora,$120.53,5,16/02/2024,Electrodomésticos
1798,Cafetera,$97.97,2,16/02/2024,Electrodomésticos
2304,Auriculares,$44.56,8,16/02/2024,Electrónica
2595,Auriculares,$81.96,2,16/02/2024,Electrónica
2825,Auriculares,$39.92,4,16/02/2024,Electrónica
727,Elementos de cerámica,$108.86,6,17/02/2024,Decoración
913,Espejo decorativo,$59.36,4,17/02/2024,Decoración
1346,Secadora,$64.11,4,17/02/2024,Electrodomésticos
1623,Microondas,$95.91,4,17/02/2024,Electrodomésticos
1924,Aspiradora,$38.10,9,17/02/2024,Electrodomésticos
2246,Laptop,$76.02,10,17/02/2024,Electrónica
2255,Auriculares,$72.37,8,17/02/2024,Electrónica
2345,Auriculares,$61.61,4,17/02/2024,Electrónica
275,Alfombra,$36.14,8,18/02/2024,Decoración
276,Cortinas,$98.73,10,18/02/2024,Decoración
436,Cortinas,$76.78,7,18/02/2024,Decoración
492,Cuadro decorativo,$120.22,5,18/02/2024,Decoración
658,Rincón de plantas,$96.23,8,18/02/2024,Decoración
694,Jarrón decorativo,$96.35,10,18/02/2024,Decoración
1081,Freidora eléctrica,$95.50,4,18/02/2024,Electrodomésticos
1115,Lavadora,$96.75,3,18/02/2024,Electrodomésticos
1510,Plancha de vapor,$79.95,10,18/02/2024,Electrodomésticos
2136,Laptop,$61.22,2,18/02/2024,Electrónica
2302,Televisor,$69.69,5,18/02/2024,Electrónica
2837,Cámara digital,$63.35,1,18/02/2024,Electrónica
83,Espejo decorativo,$101.38,6,19/02/2024,Decoración
252,Cuadro decorativo,$110.99,8,19/02/2024,Decoración
428,Rincón de plantas,$74.58,11,19/02/2024,Decoración
728,Rincón de plantas,$58.34,2,19/02/2024,Decoración
878,Rincón de plantas,$29.09,12,19/02/2024,Decoración
52,Cuadro decorativo,$52.23,10,20/02/2024,Decoración
387,Elementos de cerámica,$76.94,12,20/02/2024,Decoración
722,Cuadro decorativo,$84.63,5,20/02/2024,Decoración
1409,Batidora,$79.10,4,20/02/2024,Electrodomésticos
1568,Cafetera,$99.10,10,20/02/2024,Electrodomésticos
1788,Cafetera,$45.67,4,20/02/2024,Electrodomésticos
2077,Cámara digital,$28.16,4,20/02/2024,Electrónica
2706,Laptop,$51.15,2,20/02/2024,Electrónica
2900,Consola de videojuegos,$63.26,2,20/02/2024,Electrónica
2992,Smartphone,$116.25,8,20/02/2024,Electrónica
288,Rincón de plantas,$59.16,11,21/02/2024,Decoración
408,Rincón de plantas,$63.23,7,21/02/2024,Decoración
720,Adorno de pared,$90.05,1,21/02/2024,Decoración
1031,Freidora eléctrica,$117.97,6,21/02/2024,Electrodomésticos
1186,Secadora,$80.16,9,21/02/2024,Electrodomésticos
1453,Microondas,$60.46,5,21/02/2024,Electrodomésticos
1660,Plancha de vapor,$35.94,12,21/02/2024,Electrodomésticos
1700,Plancha de vapor,$75.08,6,21/02/2024,Electrodomésticos
1820,Plancha de vapor,$45.50,12,21/02/2024,Electrodomésticos
2083,Smartphone,$32.60,8,21/02/2024,Electrónica
2742,Televisor,$49.01,3,21/02/2024,Electrónica
2903,Smartphone,$53.67,6,21/02/2024,Electrónica
707,Elementos de cerámica,$63.79,1,22/02/2024,Decoración
888,Rincón de plantas,$36.28,12,22/02/2024,Decoración
891,Lámpara de mesa,$44.78,4,22/02/2024,Decoración
928,Rincón de plantas,$111.80,5,22/02/2024,Decoración
1508,Cafetera,$124.68,1,22/02/2024,Electrodomésticos
1582,Cafetera,$53.82,7,22/02/2024,Electrodomésticos
2056,Laptop,$99.00,11,22/02/2024,Electrónica
2883,Smartphone,$59.99,12,22/02/2024,Electrónica
